"Yearsunique","Countriesunique"
"Albania (22 Years)","1950 (9 Countries)"
"Antigua and Barbuda (48 Years)","1951 (17 Countries)"
"Argentina (49 Years)","1952 (18 Countries)"
"Armenia (37 Years)","1953 (19 Countries)"
"Australia (71 Years)","1954 (20 Countries)"
"Austria (67 Years)","1955 (30 Countries)"
"Azerbaijan (23 Years)","1956 (30 Countries)"
"Bahamas (32 Years)","1957 (30 Countries)"
"Bahrain (21 Years)","1958 (30 Countries)"
"Barbados (49 Years)","1959 (31 Countries)"
"Belarus (29 Years)","1960 (34 Countries)"
"Belgium (65 Years)","1961 (38 Countries)"
"Belize (49 Years)","1962 (37 Countries)"
"Bosnia and Herzegovina (14 Years)","1963 (42 Countries)"
"Brazil (42 Years)","1964 (44 Countries)"
"Brunei (24 Years)","1965 (45 Countries)"
"Bulgaria (57 Years)","1966 (48 Countries)"
"Canada (70 Years)","1967 (48 Countries)"
"Cape Verde (2 Years)","1968 (49 Countries)"
"Chile (66 Years)","1969 (49 Countries)"
"Colombia (59 Years)","1970 (51 Countries)"
"Costa Rica (60 Years)","1971 (51 Countries)"
"Croatia (35 Years)","1972 (52 Countries)"
"Cuba (54 Years)","1973 (48 Countries)"
"Cyprus (19 Years)","1974 (52 Countries)"
"Czechia (36 Years)","1975 (55 Countries)"
"Denmark (70 Years)","1976 (52 Countries)"
"Dominican Republic (53 Years)","1977 (58 Countries)"
"Ecuador (55 Years)","1978 (53 Countries)"
"Egypt (37 Years)","1979 (54 Countries)"
"El Salvador (28 Years)","1980 (58 Countries)"
"Estonia (39 Years)","1981 (70 Countries)"
"Fiji (12 Years)","1982 (68 Countries)"
"Finland (69 Years)","1983 (56 Countries)"
"France (68 Years)","1984 (58 Countries)"
"French Guiana (28 Years)","1985 (78 Countries)"
"Georgia (35 Years)","1986 (77 Countries)"
"Germany (31 Years)","1987 (81 Countries)"
"Greece (60 Years)","1988 (75 Countries)"
"Grenada (31 Years)","1989 (75 Countries)"
"Guadeloupe (19 Years)","1990 (77 Countries)"
"Guatemala (53 Years)","1991 (76 Countries)"
"Guyana (34 Years)","1992 (77 Countries)"
"Hong Kong (63 Years)","1993 (76 Countries)"
"Hungary (65 Years)","1994 (79 Countries)"
"Iceland (71 Years)","1995 (82 Countries)"
"Iran (4 Years)","1996 (84 Countries)"
"Iraq (3 Years)","1997 (83 Countries)"
"Ireland (67 Years)","1998 (86 Countries)"
"Israel (46 Years)","1999 (88 Countries)"
"Italy (69 Years)","2000 (96 Countries)"
"Jamaica (30 Years)","2001 (101 Countries)"
"Japan (71 Years)","2002 (100 Countries)"
"Jordan (9 Years)","2003 (100 Countries)"
"Kazakhstan (39 Years)","2004 (99 Countries)"
"Kuwait (41 Years)","2005 (98 Countries)"
"Kyrgyzstan (37 Years)","2006 (98 Countries)"
"Latvia (42 Years)","2007 (100 Countries)"
"Lebanon (3 Years)","2008 (99 Countries)"
"Lithuania (39 Years)","2009 (104 Countries)"
"Luxembourg (55 Years)","2010 (102 Countries)"
"Malaysia (21 Years)","2011 (100 Countries)"
"Maldives (18 Years)","2012 (99 Countries)"
"Malta (52 Years)","2013 (98 Countries)"
"Martinique (23 Years)","2014 (100 Countries)"
"Mauritius (61 Years)","2015 (94 Countries)"
"Mayotte (5 Years)","2016 (96 Countries)"
"Mexico (66 Years)","2017 (87 Countries)"
"Moldova (36 Years)","2018 (81 Countries)"
"Mongolia (7 Years)","2019 (77 Countries)"
"Montenegro (12 Years)","2020 (57 Countries)"
"Netherlands (71 Years)","2021 (23 Countries)"
"New Zealand (67 Years)",NA
"Nicaragua (16 Years)",NA
"North Macedonia (30 Years)",NA
"Norway (66 Years)",NA
"Oman (9 Years)",NA
"Panama (59 Years)",NA
"Paraguay (21 Years)",NA
"Peru (26 Years)",NA
"Philippines (30 Years)",NA
"Poland (60 Years)",NA
"Portugal (62 Years)",NA
"Puerto Rico (54 Years)",NA
"Qatar (19 Years)",NA
"Reunion (16 Years)",NA
"Romania (60 Years)",NA
"Russia (40 Years)",NA
"Saint Lucia (44 Years)",NA
"Saint Vincent and the Grenadines (41 Years)",NA
"Sao Tome and Principe (3 Years)",NA
"Serbia (24 Years)",NA
"Seychelles (23 Years)",NA
"Singapore (58 Years)",NA
"Slovakia (26 Years)",NA
"Slovenia (36 Years)",NA
"South Africa (23 Years)",NA
"South Korea (36 Years)",NA
"Spain (71 Years)",NA
"Sri Lanka (40 Years)",NA
"Suriname (42 Years)",NA
"Sweden (68 Years)",NA
"Switzerland (70 Years)",NA
"Syria (13 Years)",NA
"Tajikistan (25 Years)",NA
"Thailand (47 Years)",NA
"Trinidad and Tobago (58 Years)",NA
"Turkey (11 Years)",NA
"Turkmenistan (32 Years)",NA
"Ukraine (35 Years)",NA
"United Arab Emirates (3 Years)",NA
"United Kingdom (71 Years)",NA
"United States (71 Years)",NA
"Uruguay (60 Years)",NA
"Uzbekistan (34 Years)",NA
"Venezuela (59 Years)",NA
